url_path,views_total,views_unique
/JARVIS843/Unity-Tutorial,57,38
/JARVIS843/Unity-Tutorial/tree/main/Assets,37,21
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts,33,14
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Player,28,13
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Player/PlayerController.cs,22,13
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Manager/InputManager.cs,17,8
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Manager,17,8
/JARVIS843/Unity-Tutorial/tree/main,15,10
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources,7,5
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources/Character,6,5
