time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-24 00:00:00+00:00,8,4,84,7
2024-05-25 00:00:00+00:00,1,1,51,9
2024-05-26 00:00:00+00:00,2,2,58,8
2024-05-27 00:00:00+00:00,1,1,75,7
2024-05-28 00:00:00+00:00,6,3,30,6
2024-05-29 00:00:00+00:00,2,2,9,1
2024-05-30 00:00:00+00:00,5,2,67,3
2024-05-31 00:00:00+00:00,1,1,50,8
2024-06-01 00:00:00+00:00,5,2,180,9
2024-06-02 00:00:00+00:00,5,2,109,7
2024-06-03 00:00:00+00:00,2,2,95,4
2024-06-04 00:00:00+00:00,5,2,102,7
2024-06-05 00:00:00+00:00,1,1,67,5
2024-06-06 00:00:00+00:00,4,1,26,8
