time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-23 00:00:00+00:00,2,2,70,3
2024-02-24 00:00:00+00:00,3,3,84,8
2024-02-25 00:00:00+00:00,2,2,159,10
2024-02-26 00:00:00+00:00,4,4,140,7
2024-02-27 00:00:00+00:00,2,2,81,5
2024-02-28 00:00:00+00:00,1,1,47,7
2024-02-29 00:00:00+00:00,1,1,93,12
2024-03-01 00:00:00+00:00,1,1,29,5
2024-03-02 00:00:00+00:00,3,3,22,9
2024-03-03 00:00:00+00:00,1,1,62,6
2024-03-04 00:00:00+00:00,3,3,105,6
2024-03-05 00:00:00+00:00,1,1,160,7
2024-03-06 00:00:00+00:00,1,1,28,5
2024-03-07 00:00:00+00:00,1,1,108,11
