time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,4,4,9,3
2025-08-28 00:00:00+00:00,3,3,17,5
2025-08-29 00:00:00+00:00,1,1,43,6
2025-08-30 00:00:00+00:00,4,4,18,1
2025-08-31 00:00:00+00:00,2,2,6,4
2025-09-01 00:00:00+00:00,4,4,26,4
2025-09-02 00:00:00+00:00,3,3,17,7
2025-09-03 00:00:00+00:00,4,4,24,6
2025-09-04 00:00:00+00:00,3,3,7,5
2025-09-05 00:00:00+00:00,4,4,12,4
2025-09-06 00:00:00+00:00,3,3,69,8
2025-09-07 00:00:00+00:00,6,6,65,6
2025-09-08 00:00:00+00:00,1,1,45,5
2025-09-09 00:00:00+00:00,1,1,11,2
