time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-15 00:00:00+00:00,1,1,2,1
2024-05-16 00:00:00+00:00,1,1,53,6
2024-05-17 00:00:00+00:00,1,1,37,8
2024-05-18 00:00:00+00:00,1,1,19,5
2024-05-19 00:00:00+00:00,3,2,6,3
2024-05-20 00:00:00+00:00,6,3,7,6
2024-05-21 00:00:00+00:00,1,1,30,3
2024-05-22 00:00:00+00:00,1,1,54,4
2024-05-23 00:00:00+00:00,5,2,122,6
2024-05-24 00:00:00+00:00,8,4,84,7
2024-05-25 00:00:00+00:00,1,1,51,9
2024-05-26 00:00:00+00:00,2,2,58,8
2024-05-27 00:00:00+00:00,1,1,75,7
2024-05-28 00:00:00+00:00,1,1,29,5
