time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,7,3,9,4
2025-12-18 00:00:00+00:00,8,4,10,6
2025-12-19 00:00:00+00:00,9,9,5,5
2025-12-20 00:00:00+00:00,13,5,9,5
2025-12-21 00:00:00+00:00,5,5,16,4
2025-12-22 00:00:00+00:00,6,6,0,0
2025-12-23 00:00:00+00:00,11,7,11,5
2025-12-24 00:00:00+00:00,12,6,15,6
2025-12-25 00:00:00+00:00,14,8,6,5
2025-12-26 00:00:00+00:00,13,7,37,9
2025-12-27 00:00:00+00:00,12,6,2,2
2025-12-28 00:00:00+00:00,11,5,2,2
2025-12-29 00:00:00+00:00,3,3,20,5
2025-12-30 00:00:00+00:00,17,10,38,10
