time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-28 00:00:00+00:00,4,2,8,2
2025-05-29 00:00:00+00:00,1,1,35,5
2025-05-30 00:00:00+00:00,1,1,20,3
2025-05-31 00:00:00+00:00,3,3,16,5
2025-06-01 00:00:00+00:00,3,3,11,6
2025-06-02 00:00:00+00:00,1,1,11,3
2025-06-03 00:00:00+00:00,2,2,6,3
2025-06-04 00:00:00+00:00,1,1,46,9
2025-06-05 00:00:00+00:00,3,3,40,5
2025-06-06 00:00:00+00:00,6,3,3,3
2025-06-07 00:00:00+00:00,3,2,28,5
2025-06-08 00:00:00+00:00,5,2,20,4
2025-06-09 00:00:00+00:00,5,2,48,8
2025-06-10 00:00:00+00:00,1,1,21,3
