time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-27 00:00:00+00:00,8.0,4.0,208,15
2023-07-28 00:00:00+00:00,8.0,4.0,88,9
2023-07-29 00:00:00+00:00,3.0,2.0,106,9
2023-07-30 00:00:00+00:00,4.0,3.0,101,11
2023-07-31 00:00:00+00:00,6.0,4.0,133,9
2023-08-01 00:00:00+00:00,3.0,2.0,210,16
2023-08-02 00:00:00+00:00,4.0,3.0,115,9
2023-08-03 00:00:00+00:00,4.0,3.0,91,10
2023-08-04 00:00:00+00:00,4.0,3.0,191,10
2023-08-05 00:00:00+00:00,6.0,4.0,63,7
2023-08-06 00:00:00+00:00,4.0,3.0,24,5
2023-08-07 00:00:00+00:00,5.0,4.0,64,10
2023-08-08 00:00:00+00:00,5.0,3.0,84,8
2023-08-09 00:00:00+00:00,,,82,7
