time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-14 00:00:00+00:00,2.0,2.0,3,2
2025-05-15 00:00:00+00:00,5.0,2.0,93,4
2025-05-16 00:00:00+00:00,5.0,2.0,38,5
2025-05-17 00:00:00+00:00,1.0,1.0,65,12
2025-05-18 00:00:00+00:00,5.0,2.0,71,9
2025-05-19 00:00:00+00:00,6.0,3.0,61,8
2025-05-20 00:00:00+00:00,1.0,1.0,39,10
2025-05-21 00:00:00+00:00,1.0,1.0,3,3
2025-05-22 00:00:00+00:00,1.0,1.0,36,2
2025-05-23 00:00:00+00:00,4.0,2.0,27,5
2025-05-24 00:00:00+00:00,2.0,2.0,68,10
2025-05-25 00:00:00+00:00,2.0,2.0,26,7
2025-05-26 00:00:00+00:00,1.0,1.0,18,4
2025-05-27 00:00:00+00:00,,,11,4
