time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-14 00:00:00+00:00,2,2,20,6
2025-02-15 00:00:00+00:00,4,2,42,9
2025-02-16 00:00:00+00:00,5,2,19,10
2025-02-17 00:00:00+00:00,4,2,7,3
2025-02-18 00:00:00+00:00,1,1,35,7
2025-02-19 00:00:00+00:00,4,2,7,1
2025-02-20 00:00:00+00:00,1,1,65,7
2025-02-21 00:00:00+00:00,4,2,44,8
2025-02-22 00:00:00+00:00,5,3,6,5
2025-02-23 00:00:00+00:00,4,2,26,7
2025-02-24 00:00:00+00:00,6,3,8,1
2025-02-25 00:00:00+00:00,5,3,5,3
2025-02-26 00:00:00+00:00,5,2,47,6
2025-02-27 00:00:00+00:00,1,1,18,4
