time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-13 00:00:00+00:00,3,3,41,11
2025-08-14 00:00:00+00:00,3,3,40,6
2025-08-15 00:00:00+00:00,2,2,43,7
2025-08-16 00:00:00+00:00,4,4,24,7
2025-08-17 00:00:00+00:00,5,5,28,9
2025-08-18 00:00:00+00:00,1,1,22,8
2025-08-19 00:00:00+00:00,4,4,6,5
2025-08-20 00:00:00+00:00,2,2,33,3
2025-08-21 00:00:00+00:00,3,3,8,6
2025-08-22 00:00:00+00:00,1,1,7,4
2025-08-23 00:00:00+00:00,3,3,34,11
2025-08-24 00:00:00+00:00,1,1,31,6
2025-08-25 00:00:00+00:00,8,7,8,4
2025-08-26 00:00:00+00:00,1,1,8,2
