url_path,views_total,views_unique
/JARVIS843/Unity-Tutorial,88,49
/JARVIS843/Unity-Tutorial/tree/main/Assets,38,16
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Player/PlayerController.cs,17,10
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts,15,8
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources,13,5
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Player,11,7
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources/Character,8,3
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources/Character/Animations,7,3
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Manager,6,5
/JARVIS843/Unity-Tutorial/releases/tag/v1.0.0,6,4
