time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-10 00:00:00+00:00,4.0,4.0,89,9
2023-03-11 00:00:00+00:00,2.0,2.0,51,11
2023-03-12 00:00:00+00:00,2.0,2.0,110,16
2023-03-13 00:00:00+00:00,4.0,4.0,57,15
2023-03-14 00:00:00+00:00,2.0,2.0,50,13
2023-03-15 00:00:00+00:00,2.0,2.0,178,18
2023-03-16 00:00:00+00:00,2.0,2.0,109,14
2023-03-17 00:00:00+00:00,1.0,1.0,144,18
2023-03-18 00:00:00+00:00,3.0,3.0,165,22
2023-03-19 00:00:00+00:00,1.0,1.0,102,17
2023-03-20 00:00:00+00:00,2.0,2.0,87,14
2023-03-21 00:00:00+00:00,3.0,3.0,125,17
2023-03-22 00:00:00+00:00,9.0,6.0,126,18
2023-03-23 00:00:00+00:00,,,133,18
