time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-01 00:00:00+00:00,8,8,4,4
2026-01-02 00:00:00+00:00,9,5,24,8
2026-01-03 00:00:00+00:00,9,5,39,16
2026-01-04 00:00:00+00:00,18,10,59,11
2026-01-05 00:00:00+00:00,16,8,36,7
2026-01-06 00:00:00+00:00,14,7,44,4
2026-01-07 00:00:00+00:00,8,7,11,6
2026-01-08 00:00:00+00:00,15,7,20,8
2026-01-09 00:00:00+00:00,19,7,23,6
2026-01-10 00:00:00+00:00,17,8,29,7
2026-01-11 00:00:00+00:00,11,7,49,10
2026-01-12 00:00:00+00:00,10,6,2,2
2026-01-13 00:00:00+00:00,10,6,3,3
2026-01-14 00:00:00+00:00,16,8,27,6
