url_path,views_total,views_unique
/JARVIS843/Unity-Tutorial,58,30
/JARVIS843/Unity-Tutorial/tree/main/Assets,40,19
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts,33,14
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Player,23,13
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Manager,19,12
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources,19,8
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Player/PlayerController.cs,17,11
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Manager/InputManager.cs,13,10
/JARVIS843/Unity-Tutorial/tree/main,5,4
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources/Character,5,4
