url_path,views_total,views_unique
/JARVIS843/Unity-Tutorial,106,55
/JARVIS843/Unity-Tutorial/tree/main/Assets,105,24
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts,61,15
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Player,54,14
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources,42,11
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Player/PlayerController.cs,36,12
/JARVIS843/Unity-Tutorial/tree/main/Assets/Resources/Character,29,8
/JARVIS843/Unity-Tutorial/tree/main/Assets/_Scripts/Manager,18,7
/JARVIS843/Unity-Tutorial/blob/main/Assets/_Scripts/Manager/InputManager.cs,18,6
/JARVIS843/Unity-Tutorial/tree/main/ProjectSettings,16,6
