time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-13 00:00:00+00:00,4,4,57,15
2023-03-14 00:00:00+00:00,2,2,50,13
2023-03-15 00:00:00+00:00,2,2,178,18
2023-03-16 00:00:00+00:00,2,2,109,14
2023-03-17 00:00:00+00:00,1,1,144,18
2023-03-18 00:00:00+00:00,3,3,165,22
2023-03-19 00:00:00+00:00,1,1,102,17
2023-03-20 00:00:00+00:00,2,2,87,14
2023-03-21 00:00:00+00:00,3,3,125,17
2023-03-22 00:00:00+00:00,9,6,126,18
2023-03-23 00:00:00+00:00,1,1,175,19
2023-03-24 00:00:00+00:00,3,3,54,8
2023-03-25 00:00:00+00:00,1,1,80,15
2023-03-26 00:00:00+00:00,2,2,160,13
